EmpID,EmpLast,EmpFirst,Address,City,State,Zip,Phone,Cell,SSN,DOB,StartDate,EndDate,PositionID,Salary,HourlyRate,Review,WarehouseID,Memo
16,Medrano,George,3987 NW 87th Street #8,Seattle,WA,98124,2063412024,2063241200,546570000,1994/4/10,2006/10/15,,6,,11.25,2008/10/15,WA-1,
17,Goodman,Rachel,9876 Parker Street,Portland,OR,97204,5032415756,5032175613,978451342,1997/6/21,2004/11/3,,5,,12.75,2008/1/15,OR-1,On maternity leave through 12/2008
18,Anderson,Shayla,4321 Barton Cliff Drive,Seattle,WA,98124,2063214571,2063218756,926543210,1988/9/28,2003/9/24,,6,,12.5,2008/9/15,WA-1,
19,Ozmun,Alfonso,510 Immanuel Avenue,Seattle,WA,98126,2063124024,2062497513,946532100,1990/5/30,2005/6/15,,5,,12,2008/2/28,WA-1,
20,Nunis,Sophia,5471 Wyoming Springs Way,Spokane,WA,99214,5093478992,5098973246,987451372,1989/12/12,2006/10/20,,6,,12,2008/1/15,WA-1,
21,Nettles,Dora,24 Frontier Trail NE,Seattle,WA,98123,2067546512,2065795462,723246512,1988/10/14,2002/10/21,,3,,14.75,2008/2/15,WA-1,
22,Romano,Kristina,8 Anderson Loop,Seattle,WA,98113,2062449876,2062748648,704513547,1997/6/20,2001/5/20,,4,45000,,2008/5/1,WA-1,
23,Hearne,Doug,11 Lost Pine Trail,Portland,OR,97204,5032462465,5037654354,722154321,1982/5/21,2004/1/15,,6,,12.75,2008/1/15,OR-1,
24,Murphy,Tom,4007 James White Avenue,Portland,OR,97214,5032471355,5037543257,701543216,1977/6/5,2004/2/16,,6,,13,2008/3/15,OR-1,
25,Castro,Felicia,611 Montclaire Street,Portland,OR,97226,5037543871,5034757135,724216452,1980/9/14,2005/3/16,,6,,12.5,2008/3/15,OR-1,
26,Chiles,Gene,2506 Ferguson Lane #411,Portland,OR,97215,5032798246,5032467835,954321642,1982/7/5,2004/3/1,,6,,12.5,2008/3/1,OR-1,
27,Meyer,Kirby,110 Ponderosa,Portland,OR,97209,5032716579,5032795132,984651357,1980/11/12,2005/5/31,,4,42500,,2007/12/15,OR-1,
28,Bostic,Jim,1201 Chestnut Avenue #2,Portland,OR,97211,5032715496,5032164573,454006543,1979/12/12,2005/7/6,,6,,11.75,2008/7/1,OR-1,
29,McKeeman,Leland,79513 Airport Blvd.,Jackson Hole,WY,83005,3072462135,3072462465,963124672,1978/11/1,2004/9/25,,3,,14.5,2008/9/1,WY-1,
30,Ragland,Wade,9714 Circle Drive,Jackson Hole,WY,83005,3072749264,3072243241,706324675,1980/3/1,2004/9/25,,4,43500,,2008/9/1,WY-1,
31,Zucker,Cynthia,304 Ridgewood Drive #1,Jackson Hole,WY,83002,3075556432,3072465796,705315790,1967/8/22,2001/6/22,,6,,11.5,2007/6/1,WY-1,
32,Virr,Lisa,10086 Wells Parkway,Jackson Hole,WY,83010,3072746313,3072154324,421001579,1980/11/28,2006/11/16,,5,,11.5,2007/11/15,WY-1,
33,Pichardo,Shane,8301 Alvin High Blvd.,Jackson Hole,WY,83011,3075553216,3072468763,987465137,1983/12/14,2006/1/29,,6,,11.5,2007/1/15,WY-1,
34,Pena,Richard,5713 Mystic Street,Jackson Hole,WY,83012,3072456876,3072132762,716543272,1981/2/24,2006/4/26,,6,,11.75,2007/11/25,WY-1,
35,Collins,Jason,10275 Sam Bass Road,Jackson Hole,WY,83012,3072623546,3072664533,722165711,1980/10/14,2005/8/1,,6,,11.85,2007/8/1,WY-1,
